distrito_nombre,n_comisarias
CALLAO,13
LIMA,13
SAN JUAN DE LURIGANCHO,10
VILLA MARIA DEL TRIUNFO,6
RIMAC,6
COMAS,6
EL AGUSTINO,6
SAN JUAN DE MIRAFLORES,5
ATE,4
CHORRILLOS,4
INDEPENDENCIA,4
SANTIAGO DE SURCO,3
PUENTE PIEDRA,3
SAN MARTIN DE PORRES,3
LURIGANCHO,3
LOS OLIVOS,3
LA VICTORIA,3
CARABAYLLO,3
VENTANILLA,3
VILLA EL SALVADOR,3
LA MOLINA,3
LA PUNTA,2
SAN BORJA,2
SAN BARTOLO,2
BARRANCO,2
BELLAVISTA,2
SAN LUIS,2
BREÑA,2
PACHACAMAC,2
SAN MIGUEL,2
MIRAFLORES,2
CIENEGUILLA,2
SANTA ROSA,2
SAN ISIDRO,2
SANTA ANITA,1
SANTA MARIA DEL MAR,1
SURQUILLO,1
ANCON,1
PUNTA NEGRA,1
PUNTA HERMOSA,1
PUEBLO LIBRE,1
PUCUSANA,1
MAGDALENA DEL MAR,1
LURIN,1
LINCE,1
LA PERLA,1
JESUS MARIA,1
CHACLACAYO,1
CARMEN DE LA LEGUA REYNO,1
MI PERU,1
