ANIO,DIST_HECHO,UBIGEO_HECHO,P_MODALIDADES,cantidad
2018,ANCON,150102,Estafa,8
2018,ANCON,150102,ExtorsiÃ³n,1
2018,ANCON,150102,Hurto,209
2018,ANCON,150102,Otros,436
2018,ANCON,150102,Robo,193
2018,ANCON,150102,Violencia contra la mujer e integrantes,677
2018,ATE,150103,Estafa,135
2018,ATE,150103,ExtorsiÃ³n,38
2018,ATE,150103,Hurto,3045
2018,ATE,150103,Otros,3850
2018,ATE,150103,Robo,1924
2018,ATE,150103,Secuestro,19
2018,ATE,150103,Violencia contra la mujer e integrantes,6522
2018,BARRANCO,150104,Estafa,33
2018,BARRANCO,150104,ExtorsiÃ³n,3
2018,BARRANCO,150104,Hurto,935
2018,BARRANCO,150104,Otros,1002
2018,BARRANCO,150104,Robo,510
2018,BARRANCO,150104,Secuestro,2
2018,BARRANCO,150104,Violencia contra la mujer e integrantes,413
2018,BREÃA,150105,Estafa,71
2018,BREÃA,150105,ExtorsiÃ³n,6
2018,BREÃA,150105,Hurto,1251
2018,BREÃA,150105,Otros,1153
2018,BREÃA,150105,Robo,724
2018,BREÃA,150105,Secuestro,3
2018,BREÃA,150105,Violencia contra la mujer e integrantes,1025
2018,CARABAYLLO,150106,Estafa,30
2018,CARABAYLLO,150106,ExtorsiÃ³n,14
2018,CARABAYLLO,150106,Hurto,1141
2018,CARABAYLLO,150106,Otros,1661
2018,CARABAYLLO,150106,Robo,1643
2018,CARABAYLLO,150106,Secuestro,7
2018,CARABAYLLO,150106,Violencia contra la mujer e integrantes,3159
2018,CHACLACAYO,150107,Estafa,15
2018,CHACLACAYO,150107,ExtorsiÃ³n,1
2018,CHACLACAYO,150107,Hurto,241
2018,CHACLACAYO,150107,Otros,446
2018,CHACLACAYO,150107,Robo,157
2018,CHACLACAYO,150107,Secuestro,1
2018,CHACLACAYO,150107,Violencia contra la mujer e integrantes,693
2018,CHORRILLOS,150108,Estafa,107
2018,CHORRILLOS,150108,ExtorsiÃ³n,6
2018,CHORRILLOS,150108,Hurto,1666
2018,CHORRILLOS,150108,Otros,2234
2018,CHORRILLOS,150108,Robo,1787
2018,CHORRILLOS,150108,Secuestro,6
2018,CHORRILLOS,150108,Violencia contra la mujer e integrantes,2531
2018,CIENEGUILLA,150109,Estafa,7
2018,CIENEGUILLA,150109,ExtorsiÃ³n,4
2018,CIENEGUILLA,150109,Hurto,111
2018,CIENEGUILLA,150109,Otros,253
2018,CIENEGUILLA,150109,Robo,44
2018,CIENEGUILLA,150109,Violencia contra la mujer e integrantes,339
2018,COMAS,150110,Estafa,129
2018,COMAS,150110,ExtorsiÃ³n,29
2018,COMAS,150110,Hurto,2958
2018,COMAS,150110,Otros,4444
2018,COMAS,150110,Robo,3433
2018,COMAS,150110,Secuestro,60
2018,COMAS,150110,Violencia contra la mujer e integrantes,4473
2018,EL AGUSTINO,150111,Estafa,52
2018,EL AGUSTINO,150111,ExtorsiÃ³n,16
2018,EL AGUSTINO,150111,Hurto,2428
2018,EL AGUSTINO,150111,Otros,2465
2018,EL AGUSTINO,150111,Robo,1509
2018,EL AGUSTINO,150111,Secuestro,8
2018,EL AGUSTINO,150111,Violencia contra la mujer e integrantes,2604
2018,INDEPENDENCIA,150112,Estafa,111
2018,INDEPENDENCIA,150112,ExtorsiÃ³n,19
2018,INDEPENDENCIA,150112,Hurto,2908
2018,INDEPENDENCIA,150112,Otros,2960
2018,INDEPENDENCIA,150112,Robo,1781
2018,INDEPENDENCIA,150112,Secuestro,15
2018,INDEPENDENCIA,150112,Violencia contra la mujer e integrantes,2575
2018,JESUS MARIA,150113,Estafa,159
2018,JESUS MARIA,150113,ExtorsiÃ³n,9
2018,JESUS MARIA,150113,Hurto,2474
2018,JESUS MARIA,150113,Otros,1242
2018,JESUS MARIA,150113,Robo,717
2018,JESUS MARIA,150113,Secuestro,12
2018,JESUS MARIA,150113,Violencia contra la mujer e integrantes,452
2018,LA MOLINA,150114,Estafa,75
2018,LA MOLINA,150114,ExtorsiÃ³n,5
2018,LA MOLINA,150114,Hurto,755
2018,LA MOLINA,150114,Otros,548
2018,LA MOLINA,150114,Robo,249
2018,LA MOLINA,150114,Secuestro,6
2018,LA MOLINA,150114,Violencia contra la mujer e integrantes,1038
2018,LA VICTORIA,150115,Estafa,166
2018,LA VICTORIA,150115,ExtorsiÃ³n,35
2018,LA VICTORIA,150115,Hurto,3400
2018,LA VICTORIA,150115,Otros,3012
2018,LA VICTORIA,150115,Robo,1812
2018,LA VICTORIA,150115,Secuestro,8
2018,LA VICTORIA,150115,Violencia contra la mujer e integrantes,1550
2018,LIMA,150101,Estafa,373
2018,LIMA,150101,ExtorsiÃ³n,47
2018,LIMA,150101,Hurto,7153
2018,LIMA,150101,Otros,8643
2018,LIMA,150101,Robo,4701
2018,LIMA,150101,Secuestro,23
2018,LIMA,150101,Violencia contra la mujer e integrantes,5701
2018,LINCE,150116,Estafa,57
2018,LINCE,150116,ExtorsiÃ³n,1
2018,LINCE,150116,Hurto,888
2018,LINCE,150116,Otros,858
2018,LINCE,150116,Robo,507
2018,LINCE,150116,Secuestro,2
2018,LINCE,150116,Violencia contra la mujer e integrantes,527
2018,LOS OLIVOS,150117,Estafa,157
2018,LOS OLIVOS,150117,ExtorsiÃ³n,35
2018,LOS OLIVOS,150117,Hurto,3277
2018,LOS OLIVOS,150117,Otros,4491
2018,LOS OLIVOS,150117,Robo,3853
2018,LOS OLIVOS,150117,Secuestro,24
2018,LOS OLIVOS,150117,Violencia contra la mujer e integrantes,4008
2018,LURIGANCHO - CHOSICA,150118,Estafa,51
2018,LURIGANCHO - CHOSICA,150118,ExtorsiÃ³n,18
2018,LURIGANCHO - CHOSICA,150118,Hurto,990
2018,LURIGANCHO - CHOSICA,150118,Otros,1781
2018,LURIGANCHO - CHOSICA,150118,Robo,643
2018,LURIGANCHO - CHOSICA,150118,Secuestro,5
2018,LURIGANCHO - CHOSICA,150118,Violencia contra la mujer e integrantes,2173
2018,LURIN,150119,Estafa,32
2018,LURIN,150119,ExtorsiÃ³n,3
2018,LURIN,150119,Hurto,419
2018,LURIN,150119,Otros,633
2018,LURIN,150119,Robo,348
2018,LURIN,150119,Secuestro,9
2018,LURIN,150119,Violencia contra la mujer e integrantes,896
