distrito_norm,distrito_oficial,n_nexo,n_urbania,n_total,precio_venta_m2_usd
san isidro,San Isidro,39,6,45,3412.61
miraflores,Miraflores,80,9,89,3074.0
barranco,Barranco,15,2,17,2434.84
santiago de surco,Santiago De Surco,86,11,97,2341.62
san borja,San Borja,21,3,24,2308.92
lince,Lince,40,3,43,2298.08
jesus maria,Jesus Maria,66,2,68,2290.98
punta hermosa,Punta Hermosa,0,1,1,2283.95
magdalena del mar,Magdalena Del Mar,42,0,42,2214.18
magdalena,Magdalena,0,1,1,2132.08
surquillo,Surquillo,35,3,38,2127.47
la victoria,La Victoria,25,1,26,2118.76
la molina,La Molina,1,1,2,1997.46
cercado de lima,Cercado De Lima,43,0,43,1931.62
pueblo libre,Pueblo Libre,36,2,38,1904.31
san miguel,San Miguel,60,1,61,1872.49
chorrillos,Chorrillos,34,1,35,1792.91
san luis,San Luis,3,0,3,1722.58
brena,Brena,16,0,16,1671.28
los olivos,Los Olivos,2,0,2,1657.03
san bartolo,San Bartolo,2,1,3,1651.97
ate,Ate,3,0,3,1565.73
comas,Comas,3,0,3,1448.75
rimac,Rimac,3,0,3,1407.73
san juan de lurigancho,San Juan De Lurigancho,3,1,4,1349.09
ate vitarte,Ate Vitarte,0,1,1,1214.95
san juan de miraflores,San Juan De Miraflores,0,1,1,1164.38
independencia,Independencia,2,0,2,1149.94
lima cercado,Lima Cercado,0,2,2,980.19
carabayllo,Carabayllo,2,0,2,820.33
lima,Lima,0,2,2,781.11
villa el salvador,Villa El Salvador,0,1,1,760.0
lurin,Lurin,1,0,1,623.54
