latitud,longitud,distrito_oficial,dist_mar_km,cantidad_denuncias,count_1km_supermercados,count_1km_farmacias,count_1km_colegios,count_1km_hospitales,count_1km_bancos,count_1km_universidades,count_1km_parqueos,dist_nearest_m_supermercados,dist_nearest_m_farmacias,dist_nearest_m_colegios,dist_nearest_m_hospitales,dist_nearest_m_bancos,dist_nearest_m_universidades,dist_nearest_m_parqueos
-12.098346366449755,-77.03896262222898,San Isidro,0.7483979728866414,36,18.0,51.0,42.0,46.0,55.0,28.0,60.0,231.2,108.2,118.5,355.8,130.9,266.7,24.5
-12.1321037,-77.0187147,Barranco,1.2329670431091313,19,15.0,33.0,56.0,20.0,29.0,12.0,16.0,59.4,98.0,284.4,139.2,41.1,263.0,317.9
-12.0995776,-77.0401944,San Isidro,0.6033137099850695,16,12.0,18.0,21.0,12.0,31.0,14.0,41.0,623.4,150.4,102.5,403.8,158.3,272.8,327.5
-12.12747,-77.0357059,Miraflores,0.7340618095204845,34,15.0,34.0,33.0,44.0,60.0,23.0,60.0,149.7,136.2,264.4,136.0,183.4,80.5,154.8
-12.128018383528747,-77.03400699641531,Miraflores,0.5474265570638733,34,15.0,34.0,33.0,44.0,60.0,23.0,60.0,149.7,136.2,264.4,136.0,183.4,80.5,154.8
-12.0820122,-77.1034293,San Miguel,2.102023646603005,1,7.0,27.0,31.0,1.0,18.0,5.0,8.0,107.3,106.9,254.3,889.9,105.2,257.0,36.8
-12.1113551,-77.0409461,Miraflores,0.7141019044968069,14,15.0,31.0,33.0,46.0,34.0,9.0,35.0,350.3,271.3,106.9,287.4,569.2,259.5,234.5
-12.13478247345102,-77.02302281163941,Miraflores,0.8673043562178318,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.112302011855038,-77.05031190573385,Miraflores,1.3842576959806376,7,6.0,9.0,13.0,18.0,6.0,3.0,12.0,424.9,563.1,250.5,323.0,432.2,448.6,245.9
-12.108184208195045,-77.03785950475464,Miraflores,0.4237003134523503,34,10.0,24.0,30.0,24.0,35.0,11.0,48.0,157.1,178.0,451.1,196.0,122.5,77.8,66.9
-12.1080603,-77.0379086,Miraflores,0.4092667358311814,34,10.0,24.0,30.0,24.0,35.0,11.0,48.0,157.1,178.0,451.1,196.0,122.5,77.8,66.9
-12.1079869,-77.03234029999999,Miraflores,0.8965638645646465,24,17.0,60.0,53.0,60.0,60.0,23.0,60.0,256.2,199.7,212.4,110.7,254.7,177.9,74.0
-12.099362923247718,-77.04360599140166,San Isidro,0.7393270868792912,16,12.0,18.0,21.0,12.0,31.0,14.0,41.0,623.4,150.4,102.5,403.8,158.3,272.8,327.5
-12.0937674,-77.0367772,San Isidro,1.297227907012806,36,18.0,51.0,42.0,46.0,55.0,28.0,60.0,231.2,108.2,118.5,355.8,130.9,266.7,24.5
-12.0922754,-77.0352289,San Isidro,1.5070044561343634,36,18.0,51.0,42.0,46.0,55.0,28.0,60.0,231.2,108.2,118.5,355.8,130.9,266.7,24.5
-12.094803737997175,-77.03554373907164,San Isidro,1.2329580241296465,36,18.0,51.0,42.0,46.0,55.0,28.0,60.0,231.2,108.2,118.5,355.8,130.9,266.7,24.5
-12.1080603,-77.0379086,Miraflores,0.4092667358311814,34,10.0,24.0,30.0,24.0,35.0,11.0,48.0,157.1,178.0,451.1,196.0,122.5,77.8,66.9
-12.121629989626513,-77.04219268664701,Miraflores,1.685982426138615,15,3.0,8.0,15.0,11.0,2.0,6.0,10.0,757.1,460.2,583.6,489.1,836.4,683.2,141.9
-12.083290912686012,-76.96770338247357,La Molina,8.222892142426996,46,6.0,5.0,24.0,15.0,9.0,15.0,11.0,145.7,62.5,122.9,62.5,104.9,122.9,198.3
-12.1128098,-77.0499044,Miraflores,1.3833537362909094,7,6.0,9.0,13.0,18.0,6.0,3.0,12.0,424.9,563.1,250.5,323.0,432.2,448.6,245.9
-12.10083271469956,-77.05386614355128,San Isidro,1.5771810219161508,23,11.0,27.0,35.0,42.0,30.0,17.0,20.0,471.6,14.6,151.1,152.4,236.3,309.5,119.2
-12.096818047978791,-77.04442102758345,San Isidro,1.0289639246376012,16,12.0,18.0,21.0,12.0,31.0,14.0,41.0,623.4,150.4,102.5,403.8,158.3,272.8,327.5
-12.1353995,-77.027611,Miraflores,0.5538666566485406,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.0926509,-77.0809157,San Miguel,1.4349017968865343,0,21.0,57.0,60.0,10.0,37.0,4.0,14.0,281.1,281.4,64.6,84.8,309.8,149.1,253.3
-12.1330598,-77.0263293,Miraflores,0.4601062061759086,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.1247619,-77.0222359,Miraflores,1.0925112227953748,17,19.0,57.0,56.0,58.0,60.0,21.0,60.0,265.9,254.0,94.9,125.7,297.0,213.5,194.0
-12.1368989,-77.0269086,Miraflores,0.7370095668336382,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.1212598,-77.0285042,Miraflores,1.0952005028501504,43,19.0,60.0,60.0,60.0,60.0,30.0,60.0,151.7,71.3,137.2,56.6,48.8,109.4,16.9
-12.1098874,-76.9803419,Santiago de Surco,5.886986532322176,10,6.0,18.0,41.0,23.0,26.0,11.0,11.0,209.8,403.9,153.3,105.8,365.0,493.9,231.2
-12.1240572,-77.035991,Miraflores,1.0100416131610097,35,11.0,42.0,40.0,60.0,57.0,22.0,55.0,244.2,22.8,265.6,149.1,167.9,145.7,187.1
-12.0936396,-77.0299098,San Isidro,1.6730964505354378,78,23.0,44.0,50.0,60.0,60.0,26.0,60.0,45.8,34.8,160.7,190.2,29.9,106.7,57.2
-12.1086162,-77.0376711,Miraflores,0.4751822920503146,34,10.0,24.0,30.0,24.0,35.0,11.0,48.0,157.1,178.0,451.1,196.0,122.5,77.8,66.9
-12.1368989,-77.0269086,Miraflores,0.7370095668336382,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.068581,-76.9420797,Ate,11.391007621833058,107,9.0,36.0,48.0,21.0,10.0,6.0,9.0,369.3,317.4,88.8,384.9,554.8,458.7,67.2
-12.1289371,-77.01574470000001,Miraflores,1.5666111107153755,10,9.0,38.0,46.0,31.0,33.0,5.0,9.0,241.2,138.7,83.5,205.0,96.9,656.0,111.7
-12.1327084,-77.0293873,Miraflores,0.20130431381096,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.1128098,-77.0499044,Miraflores,1.3833537362909094,7,6.0,9.0,13.0,18.0,6.0,3.0,12.0,424.9,563.1,250.5,323.0,432.2,448.6,245.9
-12.1353995,-77.027611,Miraflores,0.5538666566485406,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.102371646872786,-77.03283925026244,San Isidro,0.83158748843043,29,18.0,43.0,48.0,59.0,39.0,21.0,58.0,519.2,70.9,312.0,26.3,115.2,214.6,381.3
-12.0990655,-77.0527398,San Isidro,1.534275926155103,23,11.0,27.0,35.0,42.0,30.0,17.0,20.0,471.6,14.6,151.1,152.4,236.3,309.5,119.2
-12.1337057,-77.028807,Miraflores,0.327623244933981,25,13.0,17.0,42.0,17.0,24.0,12.0,29.0,483.0,405.0,216.5,295.0,84.6,129.7,129.1
-12.124780408319868,-77.02860714683531,Miraflores,0.7079697047976568,34,15.0,34.0,33.0,44.0,60.0,23.0,60.0,149.7,136.2,264.4,136.0,183.4,80.5,154.8
-12.0938354,-77.0508171,San Isidro,1.7100790476755934,77,21.0,46.0,56.0,58.0,58.0,24.0,40.0,317.5,211.6,64.4,390.8,198.6,170.8,181.8
-12.0936396,-77.0299098,San Isidro,1.6730964505354378,78,23.0,44.0,50.0,60.0,60.0,26.0,60.0,45.8,34.8,160.7,190.2,29.9,106.7,57.2
-12.1197379,-77.0435356,Miraflores,1.6832568380076118,15,3.0,8.0,15.0,11.0,2.0,6.0,10.0,757.1,460.2,583.6,489.1,836.4,683.2,141.9
-12.1253816,-77.0239003,Miraflores,0.9110549999832424,17,19.0,57.0,56.0,58.0,60.0,21.0,60.0,265.9,254.0,94.9,125.7,297.0,213.5,194.0
-12.098604083144595,-77.03541851957397,San Isidro,0.8682832043628418,36,18.0,51.0,42.0,46.0,55.0,28.0,60.0,231.2,108.2,118.5,355.8,130.9,266.7,24.5
-12.0942517,-77.0401925,San Isidro,1.1953396740533129,37,33.0,60.0,60.0,60.0,60.0,28.0,60.0,215.7,140.0,193.1,202.9,262.5,267.3,169.6
-12.0981788,-77.0552299,San Isidro,1.6597853002349796,23,11.0,27.0,35.0,42.0,30.0,17.0,20.0,471.6,14.6,151.1,152.4,236.3,309.5,119.2
-12.0981788,-77.0552299,San Isidro,1.6597853002349796,23,11.0,27.0,35.0,42.0,30.0,17.0,20.0,471.6,14.6,151.1,152.4,236.3,309.5,119.2
-12.12747,-77.0357059,Miraflores,0.7340618095204845,34,15.0,34.0,33.0,44.0,60.0,23.0,60.0,149.7,136.2,264.4,136.0,183.4,80.5,154.8
