lat,lng,distrito,precio_usd,area_m2,dormitorios,banos,antiguedad_anios
-12.098346366449755,-77.03896262222898,San Isidro,2000,210,3,2,12
-12.1321037,-77.0187147,Barranco,650,60,1,1,3
-12.0995776,-77.0401944,San Isidro,2000,210,3,2,12
-12.12747,-77.0357059,Miraflores,6500,440,4,4,7
-12.128018383528747,-77.03400699641531,Miraflores,1000,115,2,2,8
-12.0820122,-77.1034293,San Miguel,490,50,1,1,7
-12.1113551,-77.0409461,Miraflores,2000,187,3,3,6
-12.13478247345102,-77.02302281163941,Miraflores,1100,100,3,2,8
-12.112302011855038,-77.05031190573385,Miraflores,2000,153,3,2,7
-12.108184208195045,-77.03785950475464,Miraflores,2800,255,3,2,1
-12.1080603,-77.0379086,Miraflores,1300,136,1,1,1
-12.1079869,-77.03234029999999,Miraflores,1700,163,3,2,3
-12.099362923247718,-77.04360599140166,San Isidro,2500,213,3,3,13
-12.0937674,-77.0367772,San Isidro,1100,147,3,2,23
-12.0922754,-77.0352289,San Isidro,1850,140,3,2,5
-12.094803737997175,-77.03554373907164,San Isidro,1350,140,3,2,15
-12.1080603,-77.0379086,Miraflores,1600,120,3,2,5
-12.121629989626513,-77.04219268664701,Miraflores,2300,190,3,2,15
-12.083290912686012,-76.96770338247357,La Molina,2900,230,3,4,4
-12.1128098,-77.0499044,Miraflores,2900,180,3,3,6
-12.10083271469956,-77.05386614355128,San Isidro,5500,617,4,3,5
-12.096818047978791,-77.04442102758345,San Isidro,2100,200,3,3,14
-12.1353995,-77.027611,Miraflores,2200,210,3,2,20
-12.0926509,-77.0809157,San Miguel,595,50,1,1,10
-12.1330598,-77.0263293,Miraflores,1500,120,2,2,2
-12.1247619,-77.0222359,Miraflores,900,74,1,1,4
-12.1368989,-77.0269086,Miraflores,2500,200,3,3,2
-12.1212598,-77.0285042,Miraflores,957,88,2,2,1
-12.1098874,-76.9803419,Santiago de Surco,1250,160,3,2,20
-12.1240572,-77.035991,Miraflores,1050,126,2,2,5
-12.0936396,-77.0299098,San Isidro,1200,80,2,2,5
-12.1086162,-77.0376711,Miraflores,1200,136,1,1,6
-12.1368989,-77.0269086,Miraflores,4300,436,3,3,10
-12.068581,-76.9420797,Ate,232,24,2,1,12
-12.1289371,-77.01574470000001,Miraflores,700,75,2,1,25
-12.1327084,-77.0293873,Miraflores,2261,210,3,3,9
-12.1128098,-77.0499044,Miraflores,1600,120,2,2,7
-12.1353995,-77.027611,Miraflores,2300,250,3,2,15
-12.102371646872786,-77.03283925026244,San Isidro,3300,277,4,4,6
-12.0990655,-77.0527398,San Isidro,2500,281,4,3,20
-12.1337057,-77.028807,Miraflores,2150,220,3,3,8
-12.124780408319868,-77.02860714683531,Miraflores,1700,200,3,2,50
-12.0938354,-77.0508171,San Isidro,1600,180,2,2,5
-12.0936396,-77.0299098,San Isidro,2000,211,3,2,9
-12.1197379,-77.0435356,Miraflores,1200,146,5,5,10
-12.1253816,-77.0239003,Miraflores,1246,128,2,4,7
-12.098604083144595,-77.03541851957397,San Isidro,1500,150,2,2,35
-12.0942517,-77.0401925,San Isidro,1600,205,3,3,30
-12.0981788,-77.0552299,San Isidro,750,55,1,1,10
-12.0981788,-77.0552299,San Isidro,1100,117,2,2,16
-12.12747,-77.0357059,Miraflores,2700,316,3,1,17
-12.130702722600024,-77.02051385991899,Miraflores,1200,90,3,2,8
-12.1308384,-77.0319481,Miraflores,4700,225,3,2,2
-12.145991694644994,-76.99364247427445,Santiago de Surco,670,102,3,2,3
-12.1337057,-77.028807,Miraflores,2000,154,3,3,35
-12.1356395,-76.9838385,Santiago de Surco,2300,280,8,6,30
-11.9568924,-77.0621353,Comas,350,160,3,2,10
-12.1218662,-77.0256611,Miraflores,850,80,2,2,3
-12.0764283,-77.07402189999999,Pueblo Libre,660,74,2,2,10
-12.1220426,-77.0256557,Miraflores,850,80,2,2,3
-12.0772273,-77.0469229,Jesus Maria,667,70,2,2,2
-12.093608277944972,-77.03949877044205,San Isidro,700,52,1,1,14
-12.12425723940994,-77.02600310000003,Miraflores,1100,71,2,2,1
-12.107958,-77.0323009,Miraflores,1050,81,2,2,5
-12.1298985,-77.0332154,Miraflores,1100,125,3,2,9
-12.1296962,-77.0224961,Miraflores,1200,130,2,3,50
-12.0647645,-77.0389234,Cercado de Lima,850,85,3,2,1
-12.0898031,-77.0283926,San Isidro,850,70,2,2,3
-12.0694256,-77.0445279,Jesus Maria,616,65,2,1,8
-12.0700592,-77.0439652,Jesus Maria,667,65,2,1,8
-12.095232,-77.047177,San Isidro,1800,160,3,2,8
-12.12503139221509,-77.03652638836058,Miraflores,1450,220,3,4,8
-12.1188617,-77.0342053,Miraflores,1188,82,2,2,8
-12.1199579,-77.0443306,Miraflores,3500,200,3,3,3
-12.1234566,-77.0366055,Miraflores,850,86,3,2,15
-12.1227258,-77.0159186,Miraflores,1000,80,2,2,8
-12.1213356,-77.0422701,Miraflores,2100,210,3,2,15
-12.1365525,-77.0264005,Miraflores,2000,131,2,2,7
-12.127623,-77.0281011,Miraflores,1350,145,2,3,20
-12.1439937,-77.0245734,Barranco,5500,470,4,4,15
-12.1228776,-77.0400125,Miraflores,3500,210,3,3,12
-12.1288461,-77.0270043,Miraflores,1200,103,2,2,3
-12.0887922,-76.9929657,San Borja,464,50,1,1,15
-12.1195574,-77.0437247,Miraflores,3300,225,3,3,7
-12.1128098,-77.0499044,Miraflores,4000,240,3,3,4
-12.1128098,-77.0499044,Miraflores,2150,188,3,3,8
-12.0948068,-77.0374104,San Isidro,780,60,1,1,20
-12.3416667,-76.8252778,Punta Hermosa,3297,125,3,2,3
-12.12747,-77.0357059,Miraflores,4000,340,4,5,15
-12.1218181,-77.0051418,Surquillo,261,39,1,1,10
-12.0946479,-77.0240633,San Isidro,800,65,2,2,3
-12.0936396,-77.0299098,San Isidro,1800,210,3,3,8
-12.12747,-77.0357059,Miraflores,3300,240,4,3,7
-12.0843543,-77.0324773,Lince,725,65,2,2,5
-12.1488627,-77.0217823,Barranco,650,46,1,2,9
-12.1504133,-77.0203154,Barranco,900,85,1,1,14
-12.0749333,-77.0507088,Jesus Maria,551,39,1,1,7
-12.0677882,-76.9409153,Ate,319,30,2,1,3
-12.1405385,-77.0241077,Barranco,920,65,2,2,3
-12.1095703,-77.0315462,Miraflores,600,45,1,1,5
-12.0981667,-77.0388171,San Isidro,2400,216,3,4,5
-12.0996082,-77.0400641,San Isidro,2200,210,3,2,9
-12.136986,-77.0040162,Santiago de Surco,500,80,3,1,20
-12.128468587228756,-77.03419109695892,Miraflores,1250,111,2,2,19
-12.1362116,-77.0266046,Miraflores,1700,129,3,2,17
-12.1337848,-77.0189891,Barranco,1045,88,3,2,5
-12.1291512,-77.0234315,Miraflores,680,70,1,1,8
