id,title,price_usd,precio_m2,m2,lat,lng,address,distrito,dormitorios,banos,cocheras,antiguedad_anios,construction_state,property_type,url
193555544,Venta Duplex 204m2 Jesus Maria,293294.94,1437.7,204,-12.0812802,-77.0479059,"Av. Olavegoya 2026, Jesús María, Perú",Jesús María,4,3,1,0,Excelente estado,Departamento,/venta-duplex-204m2-jesus-maria/193555544
193465044,VENTA DPTO CHORRILLOS STA LEONOR,91000.0,875.0,104,-12.1797533,-77.0121981,"Antonio Garland Grana, Lima, Perú",Lima,3,1,0,0,Buen estado,Departamento,/venta-dpto-chorrillos-sta-leonor/193465044
190933037,PRECIOSO DUPLEX 1 DORMITORIO VISTA AL MAR CHORRILLOS,230000.0,2555.6,90,-12.1654514,-77.0257716,Malecon Grau,,0,1,1,0,Excelente estado,Departamento,/precioso-duplex-1-dormitorio-vista-al-mar-chorrillos/190933037
189972308,Casanova 151,140152.94,2458.8,57,-12.08656755,-77.03664698683625,Av. Domingo Casanova 151,,2,1,0,0,En construcción,Departamento,/casanova-151/189972308
193292701,Excelente Oportunidad En Los Olivos Departamento De 77.13 M2 + Cochera,76000.0,987.0,77,-11.9802401,-77.0821241,"Calle los Claveles, Los Olivos, Perú",Los Olivos,2,1,1,0,Excelente estado,Departamento,/excelente-oportunidad-en-los-olivos-departamento-de-7713-m2-cochera/193292701
193087787,"Venta de departamento de 170 mt2 en General Córdova, Miraflores - salida a parque Naciones Unidas.",367900.0,2164.1,170,-12.1115317451,-77.046067488,"AV. GENERAL CORDOVA,Miraflores - SALIDA  Y VISTA A PARQUE DIRECTO",Miraflores,3,2,2,0,Buen estado,Departamento,/venta-de-departamento-de-170-mt2-en-general-cordova-miraflores-salida-a-parque-naciones-unidas/193087787
193465492,Vendo Dpto Miraflores Rosedal,98000.0,2800.0,35,-12.1290092,-77.0126998,"Manuel Augusto Olaechea, Miraflores, Perú",Miraflores,1,1,0,0,Excelente estado,Departamento,/vendo-dpto-miraflores-rosedal/193465492
193701496,Venta De Departamento Condominio Los Laureles Comas,45447.08,891.1,51,-11.9150865,-77.04784819999999,"Comas, Perú",Comas,3,1,0,0,Excelente estado,Departamento,/venta-de-departamento-condominio-los-laureles-comas/193701496
192939409,"Hermoso departamento en el Pentagonito, Alameda Picaflores, San Borja",530000.0,1772.6,299,-12.1045644,-76.9828095,"Alameda Picaflores, San Borja",San Borja,4,3,4,0,Buen estado,Departamento,/hermoso-departamento-en-el-pentagonito-alameda-picaflores-san-borja/192939409
192918018,Modernos Departamentos En Lima Norte,96000.0,989.7,97,-12.0139465,-77.0722236,"Tenorio Gadea 266, San Martín de Porres, Perú",San Martín de Porres,4,3,0,0,En construcción,Departamento,/modernos-departamentos-en-lima-norte/192918018
193081084,Se Vende Departamento Frente A Parque En San Martin De Porres,54000.0,818.2,66,-12.029401,-77.0766944,"Avenida Lima & Avenida Universitaria, San Martín de Porres, Perú",San Martín de Porres,2,1,0,0,Excelente estado,Departamento,/se-vende-departamento-frente-a-parque-en-san-martin-de-porres-/193081084
190828081,Super Depa En Venta Malecn Grau Chorrillos,365000.0,1921.1,190,-12.1675552,-77.0306145,,,4,3,2,0,Buen estado,Departamento,/super-depa-en-venta-malecn-grau-chorrillos/190828081
190815913,Magnifico Depa  Monoambiente En Alquiler Barranco $650/mes,148000.0,3148.9,47,-12.1411508,-77.0221186,SAN MARTIN 236 BARRANCO,Barranco,1,1,1,0,A estrenar,Departamento,/magnifico-depa-monoambiente-en-alquiler-barranco-650mes/190815913
192939407,Departamento en Corpac San Isidro,356000.0,2296.8,155,-12.091998989644944,-77.01275881904908,Carlos Ferreyros corpac San Isidro,San Isidro,4,3,2,0,A estrenar,Departamento,/departamento-en-corpac-san-isidro/192939407
192939415,Departamento en venta en Lince - Prolongación Iquitos 15XX,120500.0,1628.4,74,-12.0795754,-77.0288378,Prolongación Iquitos al 1500,,3,2,1,0,Buen estado,Departamento,/departamento-en-venta-en-lince-prolongacion-iquitos-15xx/192939415
193466420,VENDO DPTO PUENTE PIEDRA,55000.0,982.1,56,-11.8493421,-77.0878353,"Condominio La Pradera Club, José Carlos Mariátegui, Puente Piedra, Perú",Puente Piedra,3,2,0,0,Buen estado,Departamento,/vendo-dpto-puente-piedra/193466420
193807140,Se Vende Departamento Centro De Lima Rufino Torrico,110000.0,1134.0,97,-12.0512371,-77.0383016,"Jirón Rufino Torrico 980, Lima, Perú",Lima,2,2,0,0,Requiere mantenimiento,Departamento,/se-vende-departamento-centro-de-lima-rufino-torrico/193807140
191514769,Se Vende Minidepartamento En San Juan De Miraflores,28000.0,736.8,38,-12.163831256783089,-76.97437763214113,buenaventura aguirre,,1,1,0,0,Excelente estado,Departamento,/se-vende-minidepartamento-en-san-juan-de-miraflores/191514769
193660988,SE VENDE DEPA EN LINCE,96758.3,2150.2,45,-12.0885946,-77.0289909,"Avenida Prolongación Iquitos 2515, Lince, Perú",Lince,1,1,0,0,Excelente estado,Departamento,/se-vende-depa-en-lince/193660988
192550996,En Venta-departamento Duplex De Estreno 3er Piso,80000.0,1481.5,54,-12.0525002,-77.0744087,"Avenida Aurelio García y García 1296, Cercado de Lima, Perú",Cercado de Lima,2,1,0,0,A estrenar,Departamento,/en-ventadepartamento-duplex-de-estreno-3er-piso/192550996
193510311,¡VENTA MINIDEPARTAMENTOS ESTRENO EN SAN ISIDRO!,135315.02,3007.0,45,-12.090970939350635,-77.02425054293518,"Av. Javier Prado Este, San Isidro, Perú",San Isidro,1,1,1,0,A estrenar,Departamento,/¡venta-minidepartamentos-estreno-en-san-isidro/193510311
192771596,"Tv-pa/ Ocasión: Depa En Estreno, De 3 Dorm, Con Gas Natural",60693.84,809.3,75,-11.994407233996602,-77.09073776129455,"San Francisco De Cayran, San Martín de Porres, Perú",San Martín de Porres,3,2,0,0,A estrenar,Departamento,/tvpa-ocasion-depa-en-estreno-de-3-dorm-con-gas-natural/192771596
190650876,Vendo Depa Malecon Chorrillos,365000.0,1921.1,190,-12.1628542,-77.0238219,Malecon Grau,,4,3,2,0,Excelente estado,Departamento,/vendo-depa-malecon-chorrillos/190650876
193692869,SE VENDE EXCLUSIVO DEPARTAMENTO EN SAN ISIDRO – AV. JAVIER PRADO OESTE,275000.0,2806.1,98,-12.0970431,-77.03393710000002,"San Isidro, Perú",San Isidro,2,2,1,0,Excelente estado,Departamento,/se-vende-exclusivo-departamento-en-san-isidro-–-av-javier-prado-oeste/193692869
192463133,"Ubicación Y Vistas Privilegiadas, Departamentos En Frente Al Mar",414000.0,2070.0,200,-12.33077842383912,-76.83031057001205,"Malecón Superior 1847, Lima, Perú",Lima,3,3,2,0,A estrenar,Departamento,/ubicacion-y-vistas-privilegiadas-departamentos-en-frente-al-mar/192463133
193204390,Venta De Acogedor Departamento,73301.75,1309.0,56,-12.0736842,-76.9782895,"Eolo 107, Urb Olimpo Etapa 4, Ate, Perú",Ate,2,1,0,0,Buen estado,Departamento,/venta-de-acogedor-departamento/193204390
193636298,Se Vende Departamento - Miraflores,249000.0,1960.6,127,-12.132292,-77.0215079,"Av. P.º de la República 6349, Miraflores, Perú",Miraflores,3,3,2,0,Excelente estado,Departamento,/se-vende-departamento-miraflores/193636298
193692478,Departamento en AURORA,320000.0,1987.6,161,-12.128226,-77.0209797,Chariarse  al 400,,3,2,3,0,Buen estado,Departamento,/departamento-en-aurora/193692478
193614710,Vendo Lindo Departamento En Exclusivo Condominio - Monterrico,309000.0,1955.7,158,-12.1022175,-76.9637071,"Jirón José Nicolás Rodrigo 365, Santiago de Surco, Perú",Santiago de Surco,3,3,2,0,Excelente estado,Departamento,/vendo-lindo-departamento-en-exclusivo-condominio-monterrico/193614710
193205886,Depa + Estac. + Deposito - Todo En Uno En Cristobal De Peralta Sur !!!,200000.0,1459.9,137,-12.1263018,-76.9765627,"Cristóbal de Peralta Sur 1455, Santiago de Surco, Perú",Santiago de Surco,3,3,1,0,Excelente estado,Departamento,/depa-estac-deposito-todo-en-uno-en-cristobal-de-peralta-sur-/193205886
191226707,Venta De Hermoso Y Céntrico Departamento De 101.5m2&nbsp;en San Borja,198000.0,1960.4,101,-12.098074092483218,-77.00334817171098,Calle Fray Luis de Leon 7xx,,2,2,1,0,Excelente estado,Departamento,/venta-de-hermoso-y-centrico-departamento-de-1015m2nbspen-san-borja/191226707
